PID,Arrival,Execution,Start,Completion,Turnaround,Waiting
22,2,5,2,7,5,0
24,4,5,7,12,8,3
6,12,5,12,17,5,0
25,12,5,17,22,10,5
11,18,5,22,27,9,4
10,24,5,27,32,8,3
14,24,5,32,37,13,8
7,25,5,37,42,17,12
3,27,5,42,47,20,15
2,38,5,47,52,14,9
4,39,5,52,57,18,13
8,39,5,57,62,23,18
19,49,5,62,67,18,13
12,52,5,67,72,20,15
1,55,5,72,77,22,17
20,56,5,77,82,26,21
18,58,5,82,87,29,24
13,63,5,87,92,29,24
17,66,5,92,97,31,26
21,76,5,97,102,26,21
23,77,5,102,107,30,25
15,83,5,107,112,29,24
5,91,5,112,117,26,21
9,99,5,117,122,23,18
16,99,5,122,127,28,23
,,,,,19.48,14.48
