PID,Arrival,Execution,Start,Completion,Turnaround,Waiting
22,2,5,2,11,9,4
24,4,5,4,12,8,3
6,12,5,12,23,11,6
25,12,5,14,24,12,7
11,18,5,20,33,15,10
10,24,5,26,44,20,15
14,24,5,28,51,27,22
7,25,5,30,52,27,22
3,27,5,33,53,26,21
2,38,5,44,66,28,23
4,39,5,46,69,30,25
8,39,5,48,74,35,30
19,49,5,57,87,38,33
12,52,5,61,94,42,37
1,55,5,63,95,40,35
20,56,5,66,100,44,39
18,58,5,69,101,43,38
13,63,5,74,106,43,38
17,66,5,80,109,43,38
21,76,5,87,116,40,35
23,77,5,91,119,42,37
15,83,5,97,124,41,36
5,91,5,103,125,34,29
9,99,5,109,126,27,22
16,99,5,111,127,28,23
,,,,,30.12,25.12
