average_turnaround_time,average_waiting_time
350.59,345.59
357.68,352.68
350.44,345.44
351.04,346.04
356.44,351.44
346.25,341.25
353.5,348.5
354.6,349.6
351.89,346.89
349.28,344.28
352.08,347.08
358.77,353.77
350.85,345.85
356.0,351.0
348.15,343.15
357.22,352.22
348.25,343.25
350.99,345.99
364.18,359.18
359.26,354.26
354.31,349.31
345.92,340.92
369.61,364.61
340.8,335.8
352.53,347.53
354.19,349.19
351.07,346.07
353.59,348.59
361.72,356.72
353.81,348.81
362.79,357.79
351.64,346.64
350.08,345.08
362.61,357.61
360.52,355.52
345.56,340.56
353.53,348.53
358.32,353.32
354.8,349.8
346.02,341.02
356.58,351.58
359.34,354.34
348.48,343.48
353.76,348.76
360.64,355.64
345.37,340.37
364.65,359.65
353.45,348.45
359.95,354.95
356.41,351.41
363.23,358.23
350.72,345.72
360.31,355.31
351.68,346.68
356.15,351.15
358.74,353.74
357.55,352.55
349.05,344.05
345.49,340.49
352.81,347.81
356.33,351.33
359.08,354.08
359.87,354.87
352.91,347.91
343.69,338.69
353.39,348.39
353.11,348.11
354.91,349.91
352.51,347.51
349.46,344.46
357.68,352.68
349.72,344.72
358.86,353.86
343.16,338.16
351.96,346.96
357.34,352.34
360.21,355.21
359.5,354.5
347.36,342.36
356.25,351.25
355.47,350.47
351.55,346.55
359.61,354.61
361.93,356.93
354.71,349.71
358.92,353.92
349.19,344.19
359.97,354.97
341.97,336.97
358.97,353.97
355.15,350.15
348.95,343.95
359.84,354.84
353.19,348.19
360.86,355.86
357.7,352.7
369.03,364.03
361.06,356.06
354.36,349.36
349.28,344.28
